01	Candelaria de la Frontera     	02
04	El Congo                      	02
05	El Porvenir                   	02
06	Masahuat                      	02
07	Metapán                       	02
08	San Antonio Pajonal           	02
09	San Sebastían Salitrillo      	02
10	Santa Ana                     	02
11	Santa Rosa Guachipilín        	02
12	Santiago de la Frontera       	02
13	Texistepeque                  	02
01	Aguilares                     	06
02	Apopa                         	06
03	Ayutuxtepeque                 	06
04	Cuscatancingo                 	06
01	AHUACHAPÁN                    	01
02	APANECA                       	01
03	ATIQUIZAYA                    	01
04	CONCEPCIÓN DE ATACO           	01
05	EL REFURIO                    	01
06	GUAYMANGO                     	01
07	JUJUTLA                       	01
08	SAN FRANCISCO MENÉNDEZ        	01
12	San Marcos                    	06
13	San Martín                    	06
14	San Salvador                  	06
09	SAN LORENZO                   	01
10	SAN PEDRO PUXTLA              	01
11	TACUBA                        	01
12	TURÍN                         	01
19	CIUDAD DELGADO                	06
05	El Paisnal                    	06
06	Guazapa                       	06
07	Ilopango                      	06
08	Mejicanos                     	06
09	Nejapa                        	06
10	Panchimalco                   	06
11	Rosario de Mora               	06
15	Santiago Texacuangos          	06
16	Santo Tomás                   	06
17	Soyapango                     	06
18	Tonacatepeque                 	06
02	Coatepeque                    	02
03	Chalchuapa                    	02
01	ACAJUTLA                      	03
02	ARMENIA                       	03
03	CALUCO                        	03
04	CUISNAHUAT                    	03
05	SANTA ISABEL ISHUATÁN         	03
06	IZALCO                        	03
07	JUAYÚA                        	03
08	NAHUIZALCO                    	03
09	NAHULINGO                     	03
10	SALCOATITÁN                   	03
11	SAN ANTONIO DEL MONTE         	03
12	SAN JULIÁN                    	03
13	SANTA CATARINA MASAHUAT       	03
14	SANTO DOMINGO DE GUZMÁN       	03
15	SONSONATE                     	03
16	SONSACATE                     	03
01	AGUA CALIENTE                 	04
02	ARCATAO                       	04
03	AZACUALPA                     	04
04	CITALÁ                        	04
0 	COMALAPA                      	04
06	CONCEPCIÓN QUEZALTEPEQUE      	04
07	CHALATENANGO                  	04
08	DULCE NOMBRE DE MARÍA         	04
09	EL CARRIZAL                   	04
10	EL PARAISO                    	04
11	LA LAGUNA                     	04
12	LA PALMA                      	04
14	LAS VUELTAS                   	04
15	NOMBRE DE JESÚS               	04
16	NUEVA CONCEPCIÓN              	04
17	NUEVA TRINIDAD                	04
18	OJOS DE AGUA                  	04
19	POTONICO                      	04
20	SAN ANTONIO DE LA CRUZ        	04
21	SAN ANTONIO DE LOS RANCHO     	04
22	SAN FERNANDO                  	04
23	SAN FRANCISCO LEMPA           	04
24	SAN FRANCISCO MORAZÁN         	04
25	SAN IGNACIO                   	04
26	SAN ISIDRO LABRADOR           	04
27	SAN JOSÉ CANCASQUE            	04
28	SAN JOSÉ LAS FLORES           	04
29	SAN LUIS DEL CARMEN           	04
30	SAN MIGUEL DE MERCEDES        	04
31	SAN RAFAEL                    	04
32	SANTA RITA                    	04
33	TEJUTLA                       	04
01	ANTIGUO CUSCATLÁN             	05
02	CIUDAD ARCE                   	05
03	COLÓN                         	05
04	COMASAGUA                     	05
05	CHILTIUPÁN                    	05
06	HUIZÚCAR                      	05
07	JAYAQUE                       	05
08	JICALAPA                      	05
09	LA LIBERTAD                   	05
10	NUEVO CUSCATLÁN               	05
11	SANTA TECLA                   	05
12	QUEZALTEPEQUE                 	05
13	SACACOYO                      	05
14	SAN JOSÉ VILLANUEVA           	05
15	SAN JUAN OPICO                	05
16	SAN MATÍAS                    	05
17	SAN PABLO TACACHICO           	05
18	TAMANIQUE                     	05
19	TALNIQUE                      	05
20	TEOTEPEQUE                    	05
21	TEPECOYO                      	05
22	ZARAGOZA                      	05
01	CANDELARIA                    	07
02	COJUTEPEQUE                   	07
03	EL CARMEN                     	07
04	EL ROSARIO                    	07
05	MONTE SAN JUAN                	07
06	ORATORIO DE CONCEPCIÓN        	07
07	SAN BARTOLOMÉ PERULAPÍA       	07
08	SAN CRISTÓBAL                 	07
09	SAN JOSÉ GUAYABAL             	07
10	SAN PEDRO PERULAPÁN           	07
11	SAN RAFAEL CEDROS             	07
12	SAN RAMÓN                     	07
13	SANTA CRUZ ANALQUITO          	07
14	SANTA CRUZ MICHAPA            	07
15	SUCHITOTO                     	07
16	TENANCINGO                    	07
1 	CUYULTITÁN                    	08
02	EL ROSARIO                    	08
03	JERUSALÉN                     	08
04	MERCEDES LA CEIBA             	08
05	OLOCUILTA                     	08
06	PARAISO DE OSORIO             	08
07	SAN ANTONIO MASAHUAT          	08
08	SAN EMIGDIO                   	08
09	SAN FRANCISCO CHINAMECA       	08
10	SAN JUAN NONUALCO             	08
11	SAN JUAN TALPA                	08
14	SAN MIGUEL TEPEZONTES         	08
15	SAN PEDRO MASAHUAT            	08
16	SAN PEDRO NONUALCO            	08
17	SAN RAFAEL OBRAJUELO          	08
18	SANTA MARÍA OSTUMA            	08
19	SANTIAGO NONUALCO             	08
20	TAPALHUACA                    	08
21	ZACATECOLUCA                  	08
22	SAN LUIS LA HERRADURA         	08
01	CINQUERA                      	09
02	GUACOTECTI                    	09
03	ILOBASCO                      	09
04	JUTIAPA                       	09
05	SAN ISIDRO                    	09
07	SENSUNTEPEQUE                 	09
07	TEJUTEPEQUE                   	09
08	VILLA VICTORIA                	09
09	VILLA DOLORES                 	09
01	APASTEPEQUE                   	10
02	GUADALUPE                     	10
03	SAN CAYETANO ISTEPEQUE        	10
04	SANTA CLARA                   	10
05	SANTO DOMINGO                 	10
06	SAN ESTEBAN CATARINA          	10
07	SAN LLDEFONSO                 	10
08	SAN LORENZO                   	10
09	SAN SEBASTIÁN                 	10
10	SAN VICENTE                   	10
11	TECOLUCA                      	10
12	TEPETITÁN                     	10
13	VERAPAZ                       	10
01	ALEGRÍA                       	11
02	BERLÍN                        	11
03	CALIFORNIA                    	11
04	CONCEPCIÓN BATRES             	11
05	VILLA EL TRIUNFO              	11
06	EREGUAYQUÍN                   	11
07	ESTANZUELAS                   	11
08	JIQUILISCO                    	11
09	JUCUAPA                       	11
10	JUCUARÁN                      	11
11	MERCEDES UMAÑA                	11
12	NUEVA GRANADA                 	11
13	OZATLÁN                       	11
14	PUERTO EL TRIUNFO             	11
15	SAN AGUSTÍN                   	11
16	SAN BUENAVENTURA              	11
17	SAN DIONISIO                  	11
18	SANTA ELENA                   	11
19	SAN FRACISCO JAVIER           	11
20	SANTA MARÍA                   	11
21	SANTIAGO DE MARÍA             	11
22	TECAPÁN                       	11
23	USULUTÁN                      	11
01	CAROLINA                      	12
02	CIUDAD BARRIOS                	12
03	COMACARÁN                     	12
04	CHAPELTIQUE                   	12
05	CHINAMECA                     	12
06	CHRILAGUA                     	12
07	EL TRÁSNITO                   	12
08	LOLOTIQUE                     	12
09	MONCAGUA                      	12
10	NUEVA GUADALUPE               	12
11	NUEVO EDÉN DE SAN JUAN        	12
12	QUELEPA                       	12
13	SAN ANTONIO                   	12
14	SAN GERARDO                   	12
15	SAN JORGE                     	12
16	SAN LUIS DE LA REINA          	12
17	SAN MIGUEL                    	12
18	SAN RAFAEL ORIENTE            	12
19	SESORI                        	12
20	ULUAZAPA                      	12
01	ARAMBALA                      	13
02	CACAOPERA                     	13
03	CORINTO                       	13
04	CHILANGA                      	13
05	DELICIAS DE CONCEPCIÓN        	13
06	EL DIVISADERO                 	13
07	EL ROSARIO                    	13
08	GUALOCOCTI                    	13
09	GUATAJIAGUA                   	13
10	JOATECA                       	13
11	JOCOALTIQUE                   	13
12	JOCORO                        	13
13	LOLOTIQUILLO                  	13
14	MEANGUERA                     	13
15	OSICALA                       	13
16	PERQUÍN                       	13
17	SAN CARLOS                    	13
18	SAN FERNANDO                  	13
19	SAN FRANCISCO GOTERA          	13
20	SAN ISIDRO                    	13
21	SAN SIMÓN                     	13
22	SENSEMBRA                     	13
23	SOCIEDAD                      	13
24	TOROLA                        	13
25	YAMABAL                       	13
26	YOLOALQUÍN                    	13
01	ANAMORÓS                      	14
02	BOLÍVAR                       	14
03	CONCEPCIÓN DE ORIENTE         	14
04	CONCHAGUA                     	14
05	EL CARMEN                     	14
06	EL SAUCE                      	14
07	INTIPUCÁ                      	14
08	LA UNIÓN                      	14
09	LISLIQUE                      	14
10	MEANGUERA DEL GOLFO           	14
11	NUEVA ESPARTA                 	14
12	PASAQUINA                     	14
13	POLORÓS                       	14
14	SAN ALEJO                     	14
15	SAN JOSÉ                      	14
16	SANTA ROSA DE LIMA            	14
17	YAYANTIQUE                    	14
18	YUCUALQUÍN                    	14
